RTFORD WWTP WI US,20040513 04:00,50.0
COOP:473453,HARTFORD WWTP WI US,20040901 09:00,82.0
COOP:473453,HARTFORD WWTP WI US,20041001 01:00,72.0
COOP:473453,HARTFORD WWTP WI US,20041001 08:00,64.0
COOP:473453,HARTFORD WWTP WI US,20041002 08:00,78.0
COOP:473453,HARTFORD WWTP WI US,20041008 06:00,84.0
COOP:473453,HARTFORD WWTP WI US,20041008 08:00,78.0
COOP:473453,HARTFORD WWTP WI US,20041016 04:00,35.0
COOP:473453,HARTFORD WWTP WI US,20041016 09:00,36.0
COOP:473453,HARTFORD WWTP WI US,20041016 10:00,47.0
COOP:473453,HARTFORD WWTP WI US,20041023 11:00,62.0
COOP:473453,HARTFORD WWTP WI US,20041023 17:00,68.0
COOP:473453,HARTFORD WWTP WI US,20041026 05:00,38.0
COOP:473453,HARTFORD WWTP WI US,20041026 17:00,81.0
COOP:473453,HARTFORD WWTP WI US,20041026 19:00,36.0
COOP:473453,HARTFORD WWTP WI US,20041027 19:00,54.0
COOP:473453,HARTFORD WWTP WI US,20041029 11:00,55.0
COOP:473453,HARTFORD WWTP WI US,20041030 01:00,34.0
COOP:473453,HARTFORD WWTP WI US,20041101 01:00,0.0
COOP:473453,HARTFORD WWTP WI US,20041101 12:00,9.0
COOP:473453,HARTFORD WWTP WI US,20041101 13:00,28.0
COOP:473453,HARTFORD WWTP WI US,20041101 17:00,23.0
COOP:473453,HARTFORD WWTP WI US,20041101 22:00,2.0
COOP:473453,HARTFORD WWTP WI US,20041102 03:00,21.0
COOP:473453,HARTFORD WWTP WI US,20041102 07:00,29.0
COOP:473453,HARTFORD WWTP WI US,20041102 09:00,18.0
COOP:473453,HARTFORD WWTP WI US,20041104 06:00,25.0
COOP:473453,HARTFORD WWTP WI US,20041104 14:00,11.0
COOP:473453,HARTFORD WWTP WI US,20041118 11:00,5.0
COOP:473453,HARTFORD WWTP WI US,20041119 10:00,24.0
COOP:473453,HARTFORD WWTP WI US,20041119 14:00,30.0
COOP:473453,HARTFORD WWTP WI US,20041119 19:00,27.0
COOP:473453,HARTFORD WWTP WI US,20041119 22:00,15.0
COOP:473453,HARTFORD WWTP WI US,20041126 19:00,3.0
COOP:473453,HARTFORD WWTP WI US,20041127 07:00,27.0
COOP:473453,HARTFORD WWTP WI US,20041127 10:00,12.0
COOP:473453,HARTFORD WWTP WI US,20041127 13:00,4.0
COOP:473453,HARTFORD WWTP WI US,20041127 14:00,20.0
COOP:473453,HARTFORD WWTP WI US,20041127 15:00,9.0
COOP:473453,HARTFORD WWTP WI US,20041127 18:00,23.0
COOP:473453,HARTFORD WWTP WI US,20041201 01:00,18.0
COOP:473453,HARTFORD WWTP WI US,20041204 15:00,11.0
COOP:473453,HARTFORD WWTP WI US,20041206 02:00,25.0
COOP:473453,HARTFORD WWTP WI US,20041206 05:00,18.0
COOP:473453,HARTFORD WWTP WI US,20041207 04:00,22.0
COOP:473453,HARTFORD WWTP WI US,20041207 07:00,12.0
COOP:473453,HARTFORD WWTP WI US,20041207 08:00,29.0
COOP:473453,HARTFORD WWTP WI US,20041207 09:00,22.0
COOP:473453,HARTFORD WWTP WI US,20041207 10:00,11.0
COOP:473453,HARTFORD WWTP WI US,20041209 15:00,5.0
COOP:473453,HARTFORD WWTP WI US,20041210 02:00,14.0
COOP:473453,HARTFORD WWTP WI US,20041210 16:00,11.0
COOP:473453,HARTFORD WWTP WI US,20050101 01:00,29.0
COOP:473453,HARTFORD WWTP WI US,20050101 23:00,3.0
COOP:473453,HARTFORD WWTP WI US,20050102 01:00,15.0
COOP:473453,HARTFORD WWTP WI US,20050102 02:00,3.0
COOP:473453,HARTFORD WWTP WI US,20050102 03:00,22.0
COOP:473453,HARTFORD WWTP WI US,20050102 04:00,16.0
COOP:473453,HARTFORD WWTP WI US,20050105 03:00,27.0
COOP:473453,HARTFORD WWTP WI US,20050106 03:00,26.0
COOP:473453,HARTFORD WWTP WI US,20050106 04:00,6.0
COOP:473453,HARTFORD WWTP WI US,20050106 05:00,25.0
COOP:473453,HARTFORD WWTP WI US,20050106 08:00,9.0
COOP:473453,HARTFORD WWTP WI US,20050112 06:00,29.0
COOP:473453,HARTFORD WWTP WI US,20050112 17:00,13.0
COOP:473453,HARTFORD WWTP WI US,20050112 19:00,17.0
COOP:473453,HARTFORD WWTP WI US,20050112 20:00,8.0
COOP:473453,HARTFORD WWTP WI US,20050112 21:00,8.0
COOP:473453,HARTFORD WWTP WI US,20050112 22:00,7.0
COOP:473453,HARTFORD WWTP WI US,20050119 06:00,10.0
COOP:473453,HARTFORD WWTP WI US,20050121 23:00,10.0
COOP:473453,HARTFORD WWTP WI US,20050122 01:00,9.0
COOP:473453,HARTFORD WWTP WI US,20050122 03:00,30.0
COOP:473453,HARTFORD WWTP WI US,20050122 05:00,29.0
COOP:473453,HARTFORD WWTP WI US,20050122 08:00,16.0
COOP:473453,HARTFORD WWTP WI US,20050201 01:00,31.0
COOP:473453,HARTFORD WWTP WI US,20050202 09:00,24.0
COOP:473453,HARTFORD WWTP WI US,20050202 11:00,13.0
COOP:473453,HARTFORD WWTP WI US,20050206 23:00,10.0
COOP:473453,HARTFORD WWTP WI US,20050207 06:00,10.0
COOP:473453,HARTFORD WWTP WI US,20050207 15:00,11.0
COOP:473453,HARTFORD WWTP WI US,20050211 03:00,12.0
COOP:473453,HARTFORD WWTP WI US,20050213 19:00,13.0
COOP:473453,HARTFORD WWTP WI US,20050214 00:00,18.0
COOP:473453,HARTFORD WWTP WI US,20050214 01:00,16.0
COOP:473453,HARTFORD WWTP WI US,20050214 11:00,14.0
COOP:473453,HARTFORD WWTP WI US,20050220 14:00,32.0
COOP:473453,HARTFORD WWTP WI US,20050220 16:00,15.0
COOP:473453,HARTFORD WWTP WI US,20050221 10:00,3.0
COOP:473453,HARTFORD WWTP WI US,20050301 01:00,85.0
COOP:473453,HARTFORD WWTP WI US,20050301 09:00,85.0
COOP:473453,HARTFORD WWTP WI US,20050301 10:00,57.0
COOP:473453,HARTFORD WWTP WI US,20050311 19:00,74.0
COOP:473453,HARTFORD WWTP WI US,20050311 20:00,62.0
COOP:473453,HARTFORD WWTP WI US,20050318 02:00,42.0
COOP:473453,HARTFORD WWTP WI US,20050318 11:00,41.0
COOP:473453,HARTFORD WWTP WI US,20050319 13:00,63.0
COOP:473453,HARTFORD WWTP WI US,20050401 01:00,68.0
COOP:473453,HARTFORD WWTP WI US,20050404 08:00,80.0
COOP:473453,HARTFORD WWTP WI US,20050404 10:00,71.0
COOP:473453,HARTFORD WWTP WI US,20050404 11:00,68.0
COOP:473453,HARTFORD WWTP WI US,20050501 00:00,70.0
COOP:473453,HARTFORD WWTP WI US,20050501 01:00,76.0
COOP:473453,HARTFORD WWTP WI US,20050505 09:00,44.0
COOP:473453,HARTFORD WWTP WI US,20050506 10:00,66.0
COOP:473453,HARTFORD WWTP WI US,20050507 09:00,92.0
COOP:473453,HARTFORD WWTP WI US,20050509 18:00,51.0
COOP:473453,HARTFORD WWTP WI US,20050511 06:00,68.0
COOP:473453,HARTFORD WWTP WI US,20050511 07:00,77.0
COOP:473453,HARTFORD WWTP WI US,20050511 08:00,87.0
COOP:473453,HARTFORD WWTP WI US,20050513 04:00,69.0
COOP:473453,HARTFORD WWTP WI US,20050513 05:00,34.0
COOP:473453,HARTFORD WWTP WI US,20050513 12:00,87.0
COOP:473453,HARTFORD WWTP WI US,20050517 12:00,34.0
COOP:473453,HARTFORD WWTP WI US,20050519 02:00,58.0
COOP:473453,HARTFORD WWTP WI US,20050519 03:00,89.0
COOP:473453,HARTFORD WWTP WI US,20050519 04:00,49.0
COOP:473453,HARTFORD WWTP WI US,20050519 05:00,62.0
COOP:473453,HARTFORD WWTP WI US,20050522 07:00,86.0
COOP:473453,HARTFORD WWTP WI US,20050527 03:00,85.0
COOP:473453,HARTFORD WWTP WI US,20050601 01:00,65.0
COOP:473453,HARTFORD WWTP WI US,20050601 05:00,90.0
COOP:473453,HARTFORD WWTP WI US,20050601 08:00,43.0
COOP:473453,HARTFORD WWTP WI US,20050604 15:00,84.0
COOP:473453,HARTFORD WWTP WI US,20050604 16:00,37.0
COOP:473453,HARTFORD WWTP WI US,20050604 19:00,42.0
COOP:473453,HARTFORD WWTP WI US,20050605 06:00,48.0
COOP:473453,HARTFORD WWTP WI US,20050613 16:00,35.0
COOP:473453,HARTFORD WWTP WI US,20050625 22:00,49.0
COOP:473453,HARTFORD WWTP WI US,20050626 02:00,34.0
COOP:473453,HARTFORD WWTP WI US,20050627 01:00,86.0
COOP:473453,HARTFORD WWTP WI US,20050701 01:00,66.0
COOP:473453,HARTFORD WWTP WI US,20050704 04:00,49.0
COOP:473453,HARTFORD WWTP WI US,20050704 05:00,60.0
COOP:473453,HARTFORD WWTP WI US,20050704 06:00,52.0
COOP:473453,HARTFORD WWTP WI US,20050704 10:00,40.0
COOP:473453,HARTFORD WWTP WI US,20050704 11:00,45.0
COOP:473453,HARTFORD WWTP WI US,20050704 20:00,77.0
COOP:473453,HARTFORD WWTP WI US,20050705 19:00,85.0
COOP:473453,HARTFORD WWTP WI US,20050712 17:00,60.0
COOP:473453,HARTFORD WWTP WI US,20050713 02:00,70.0
COOP:473453,HARTFORD WWTP WI US,20050713 03:00,75.0
COOP:473453,HARTFORD WWTP WI US,20050720 10:00,39.0
COOP:473453,HARTFORD WWTP WI US,20050721 09:00,87.0
COOP:473453,HARTFORD WWTP WI US,20050721 10:00,60.0
COOP:473453,HARTFORD WWTP WI US,20050721 11:00,67.0
COOP:473453,HARTFORD WWTP WI US,20050723 14:00,83.0
COOP:473453,HARTFORD WWTP WI US,20050723 15:00,76.0
COOP:473453,HARTFORD WWTP WI US,20050725 08:00,79.0
COOP:473453,HARTFORD WWTP WI US,20050725 20:00,57.0
COOP:473453,HARTFORD WWTP WI US,20050725 21:00,71.0
COOP:473453,HARTFORD WWTP WI US,20050725 22:00,39.0
COOP:473453,HARTFORD WWTP WI US,20050725 23:00,47.0
COOP:473453,HARTFORD WWTP WI US,20050726 00:00,58.0
COOP:473453,HARTFORD WWTP WI US,20050801 01:00,32.0
COOP:473453,HARTFORD WWTP WI US,20050803 06:00,86.0
COOP:473453,HARTFORD WWTP WI US,20050803 08:00,36.0
COOP:473453,HARTFORD WWTP WI US,20050804 05:00,55.0
COOP:473453,HARTFORD WWTP WI US,20050804 06:00,42.0
COOP:473453,HARTFORD WWTP WI US,20050811 19:00,69.0
COOP:473453,HARTFORD WWTP WI US,20050811 21:00,85.0
COOP:473453,HARTFORD WWTP WI US,20050811 22:00,91.0
COOP:473453,HARTFORD WWTP WI US,20050812 01:00,61.0
COOP:473453,HARTFORD WWTP WI US,20050818 11:00,80.0
COOP:473453,HARTFORD WWTP WI US,20050818 12:00,92.0
COOP:473453,HARTFORD WWTP WI US,20050818 14:00,70.0
COOP:473453,HARTFORD WWTP WI US,20050827 00:00,47.0
COOP:473453,HARTFORD WWTP WI US,20050827 01:00,49.0
COOP:473453,HARTFORD WWTP WI US,20050827 10:00,61.0
COOP:473453,HARTFORD WWTP WI US,20050901 01:00,60.0
COOP:473453,HARTFORD WWTP WI US,20050907 18:00,59.0
COOP:473453,HARTFORD WWTP WI US,20050907 21:00,82.0
COOP:473453,HARTFORD WWTP WI US,20050919 07:00,53.0
COOP:473453,HARTFORD WWTP WI US,20050919 08:00,85.0
COOP:473453,HARTFORD WWTP WI US,20050922 01:00,45.0
COOP:473453,HARTFORD WWTP WI US,20050922 02:00,36.0
COOP:473453,HARTFORD WWTP WI US,20050922 03:00,37.0
COOP:473453,HARTFORD WWTP WI US,20050922 04:00,42.0
COOP:473453,HARTFORD WWTP WI US,20050922 05:00,91.0
COOP:473453,HARTFORD WWTP WI US,20050922 06:00,84.0
COOP:473453,HARTFORD WWTP WI US,20050922 08:00,54.0
COOP:473453,HARTFORD WWTP WI US,20050925 12:00,64.0
COOP:473453,HARTFORD WWTP WI US,20050925 13:00,58.0
COOP:473453,HARTFORD WWTP WI US,20050925 18:00,57.0
COOP:473453,HARTFORD WWTP WI US,20050928 11:00,82.0
COOP:473453,HARTFORD WWTP WI US,20050928 16:00,34.0
COOP:473453,HARTFORD WWTP WI US,20050928 17:00,55.0
COOP:473453,HARTFORD WWTP WI US,20050928 18:00,62.0
COOP:473453,HARTFORD WWTP WI US,20050928 21:00,59.0
COOP:473453,HARTFORD WWTP WI US,20051001 01:00,75.0
COOP:473453,HARTFORD WWTP WI US,20051017 11:00,65.0
COOP:473453,HARTFORD WWTP WI US,20051022 10:00,84.0
COOP:473453,HARTFORD WWTP WI US,20051023 12:00,92.0
COOP:473453,HARTFORD WWTP WI US,20051030 21:00,61.0
COOP:473453,HARTFORD WWTP WI US,20051101 01:00,28.0
COOP:473453,HARTFORD WWTP WI US,20051104 10:00,4.0
COOP:473453,HARTFORD WWTP WI US,20051105 17:00,17.0
COOP:473453,HARTFORD WWTP WI US,20051105 18:00,30.0
COOP:473453,HARTFORD WWTP WI US,20051105 19:00,27.0
COOP:473453,HARTFORD WWTP WI US,20051105 20:00,18.0
COOP:473453,HARTFORD WWTP WI US,20051105 21:00,21.0
COOP:473453,HARTFORD WWTP WI US,20051105 22:00,6.0
COOP:473453,HARTFORD WWTP WI US,20051105 23:00,5.0
COOP:473453,HARTFORD WWTP WI US,20051106 00:00,3.0
COOP:473453,HARTFORD WWTP WI US,20051106 01:00,1.0
COOP:473453,HARTFORD WWTP WI US,20051106 02:00,2.0
COOP:473453,HARTFORD WWTP WI US,20051106 04:00,18.0
COOP:473453,HARTFORD WWTP WI US,20051106 08:00,18.0
COOP:473453,HARTFORD WWTP WI US,20051115 10:00,5.0
COOP:473453,HARTFORD WWTP WI US,20051115 16:00,25.0
COOP:473453,HARTFORD WWTP WI US,20051115 18:00,22.0
COOP:473453,HARTFORD WWTP WI US,20051115 19:00,3.0
COOP:473453,HARTFORD WWTP WI US,20051115 23:00,10.0
COOP:473453,HARTFORD WWTP WI US,20051116 05:00,18.0
COOP:473453,HARTFORD WWTP WI US,20051123 08:00,5.0
COOP:473453,HARTFORD WWTP WI US,20051125 19:00,29.0
COOP:473453,HARTFORD WWTP WI US,20051127 05:00,7.0
COOP:473453,HARTFORD WWTP WI US,20051127 09:00,29.0
COOP:473453,HARTFORD WWTP WI US,20051127 11:00,7.0
COOP:473453,HARTFORD WWTP WI US,20051128 05:00,9.0
COOP:473453,HARTFORD WWTP WI US,20051128 08:00,30.0
COOP:473453,HARTFORD WWTP WI US,20051201 01:00,8.0
COOP:473453,HARTFORD WWTP WI US,20051201 09:00,16.0
COOP:473453,HARTFORD WWTP WI US,20060101 00:00,32.0
COOP:473453,HARTFORD WWTP WI US,20060101 01:00,30.0
COOP:473453,HARTFORD WWTP WI US,20060103 14:00,2.0
COOP:473453,HARTFORD WWTP WI US,20060104 09:00,21.0
COOP:473453,HARTFORD WWTP WI US,20060120 20:00,9.0
COOP:473453,HARTFORD WWTP WI US,20060120 21:00,3.0
COOP:473453,HARTFORD WWTP WI US,20060128 14:00,31.0
COOP:473453,HARTFORD WWTP WI US,20060128 16:00,9.0
COOP:473453,HARTFORD WWTP WI US,20060128 17:00,13.0
COOP:473453,HARTFORD WWTP WI US,20060128 18:00,12.0
COOP:473453,HARTFORD WWTP WI US,20060128 19:00,19.0
COOP:473453,HARTFORD WWTP WI US,20060128 21:00,2.0
COOP:473453,HARTFORD WWTP WI US,20060128 23:00,2.0
COOP:473453,HARTFORD WWTP WI US,20060129 02:00,17.0
COOP:473453,HARTFORD WWTP WI US,20060129 03:00,11.0
COOP:473453,HARTFORD WWTP WI US,20060129 04:00,16.0
COOP:473453,HARTFORD WWTP WI US,20060129 05:00,14.0
COOP:473453,HARTFORD WWTP WI US,20060129 06:00,31.0
COOP:473453,HARTFORD WWTP WI US,20060129 09:00,15.0
COOP:473453,HARTFORD WWTP WI US,20060129 16:00,14.0
COOP:473453,HARTFORD WWTP WI US,20060130 01:00,17.0
COOP:473453,HARTFORD WWTP WI US,20060201 01:00,19.0
COOP:473453,HARTFORD WWTP WI US,20060203 10:00,6.0
COOP:473453,HARTFORD WWTP WI US,20060203 11:00,27.0
COOP:473453,HARTFORD WWTP WI US,20060203 13:00,0.0
COOP:473453,HARTFORD WWTP WI US,20060216 06:00,29.0
COOP:473453,HARTFORD WWTP WI US,20060216 11:00,13.0
COOP:473453,HARTFORD WWTP WI US,20060216 12:00,29.0
COOP:473453,HARTFORD WWTP WI US,20060216 15:00,23.0
COOP:473453,HARTFORD WWTP WI US,20060301 01:00,69.0
COOP:473453,HARTFORD WWTP WI US,20060306 07:00,57.0
COOP:473453,HARTFORD WWTP WI US,20060308 21:00,85.0
COOP:473453,HARTFORD WWTP WI US,20060308 22:00,57.0
COOP:473453,HARTFORD WWTP WI US,20060308 23:00,39.0
COOP:473453,HARTFORD WWTP WI US,20060309 00:00,58.0
COOP:473453,HARTFORD WWTP WI US,20060309 22:00,78.0
COOP:473453,HARTFORD WWTP WI US,20060313 00:00,37.0
COOP:473453,HARTFORD WWTP WI US,20060313 01:00,67.0
COOP:473453,HARTFORD WWTP WI US,20060313 02:00,73.0
COOP:473453,HARTFORD WWTP WI US,20060313 05:00,61.0
COOP:473453,HARTFORD WWTP WI US,20060331 03:00,49.0
COOP:473453,HARTFORD WWTP WI US,20060331 22:00,49.0
COOP:473453,HARTFORD WWTP WI US,20060401 01:00,45.0
COOP:473453,HARTFORD WWTP WI US,20060402 22:00,54.0
COOP:473453,HARTFORD WWTP WI US,20060402 23:00,66.0
COOP:473453,HARTFORD WWTP WI US,20060403 01:00,40.0
COOP:473453,HARTFORD WWTP WI US,20060403 02:00,78.0
COOP:473453,HARTFORD WWTP WI US,20060403 03:00,69.0
COOP:473453,HARTFORD WWTP WI US,20060403 04:00,72.0
COOP:473453,HARTFORD WWTP WI US,20060403 06:00,57.0
COOP:473453,HARTFORD WWTP WI US,20060407 02:00,69.0
COOP:473453,HARTFORD WWTP WI US,20060407 03:00,57.0
COOP:473453,HARTFORD WWTP WI US,20060407 04:00,75.0
COOP:473453,HARTFORD WWTP WI US,20060407 06:00,38.0
COOP:473453,HARTFORD WWTP WI US,20060407 07:00,69.0
COOP:473453,HARTFORD WWTP WI US,20060407 10:00,35.0
COOP:473453,HARTFORD WWTP WI US,20060407 11:00,67.0
COOP:473453,HARTFORD WWTP WI US,20060412 07:00,52.0
COOP:473453,HARTFORD WWTP WI US,20060412 08:00,38.0
COOP:473453,HARTFORD WWTP WI US,20060412 10:00,87.0
COOP:473453,HARTFORD WWTP WI US,20060422 17:00,78.0
COOP:473453,HARTFORD WWTP WI US,20060425 02:00,66.0
COOP:473453,HARTFORD WWTP WI US,20060429 19:00,49.0
COOP:473453,HARTFORD WWTP WI US,20060429 20:00,34.0
COOP:473453,HARTFORD WWTP WI US,20060429 22:00,33.0
COOP:473453,HARTFORD WWTP WI US,20060430 05:00,65.0
COOP:473453,HARTFORD WWTP WI US,20060430 07:00,69.0
COOP:473453,HARTFORD WWTP WI US,20060430 08:00,37.0
COOP:473453,HARTFORD WWTP WI US,20060430 09:00,79.0
COOP:473453,HARTFORD WWTP WI US,20060430 10:00,64.0
COOP:473453,HARTFORD WWTP WI US,20060430 14:00,68.0
COOP:473453,HARTFORD WWTP WI US,20060430 19:00,69.0
COOP:473453,HARTFORD WWTP WI US,20060501 01:00,35.0
COOP:473453,HARTFORD WWTP WI US,20060502 03:00,89.0
COOP:473453,HARTFORD WWTP WI US,20060509 19:00,60.0
COOP:473453,HARTFORD WWTP WI US,20060510 11:00,70.0
COOP:473453,HARTFORD WWTP WI US,20060511 07:00,63.0
COOP:473453,HARTFORD WWTP WI US,20060511 09:00,40.0
COOP:473453,HARTFORD WWTP WI US,20060511 10:00,72.0
COOP:473453,HARTFORD WWTP WI US,20060511 12:00,79.0
COOP:473453,HARTFORD WWTP WI US,20060511 14:00,74.0
COOP:473453,HARTFORD WWTP WI US,20060511 16:00,34.0
COOP:473453,HARTFORD WWTP WI US,20060511 19:00,83.0
COOP:473453,HARTFORD WWTP WI US,20060512 02:00,50.0
COOP:473453,HARTFORD WWTP WI US,20060512 09:00,77.0
COOP:473453,HARTFORD WWTP WI US,20060512 12:00,65.0
COOP:473453,HARTFORD WWTP WI US,20060512 15:00,73.0
COOP:473453,HARTFORD WWTP WI US,20060513 01:00,57.0
COOP:473453,HARTFORD WWTP WI US,20060513 12:00,38.0
COOP:473453,HARTFORD WWTP WI US,20060514 14:00,62.0
COOP:473453,HARTFORD WWTP WI US,20060517 12:00,61.0
COOP:473453,HARTFORD WWTP WI US,20060522 10:00,50.0
COOP:473453,HARTFORD WWTP WI US,20060524 21:00,80.0
COOP:473453,HARTFORD WWTP WI US,20060524 22:00,38.0
COOP:473453,HARTFORD WWTP WI US,20060525 14:00,57.0
COOP:473453,HARTFORD WWTP WI US,20060525 16:00,64.0
COOP:473453,HARTFORD WWTP WI US,20060525 18:00,85.0
COOP:473453,HARTFORD WWTP WI US,20060530 12:00,53.0
COOP:473453,HARTFORD WWTP WI US,20060530 13:00,41.0
COOP:473453,HARTFORD WWTP WI US,20060530 16:00,84.0
COOP:473453,HARTFORD WWTP WI US,20060530 19:00,38.0
COOP:473453,HARTFORD WWTP WI US,20060531 11:00,41.0
COOP:473453,HARTFORD WWTP WI US,20060601 01:00,85.0
COOP:473453,HARTFORD WWTP WI US,20060607 00:00,50.0
COOP:473453,HARTFORD WWTP WI US,20060607 01:00,58.0
COOP:473453,HARTFORD WWTP WI US,20060618 08:00,44.0
COOP:473453,HARTFORD WWTP WI US,20060618 10:00,50.0
COOP:473453,HARTFORD WWTP WI US,20060618 11:00,63.0
